,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res,number_weight_parameters
0,1,0,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,984.000646769,6.385458420999839,0.033487879313271164,0.01975736244715167,0.040024053896192346,0.16082667487790037,0.13118969099554945,0.6608801903614228,3.7576792e-06,4.8589195e-06,2.7639970000000004e-05,0.0010754439,30
1,2,1,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,949.0070135709998,7.764303119999568,0.04667352870077141,0.03079663760195612,0.05301099101951845,0.23770476452458764,0.19634124993441818,0.7282930981902584,4.3670193e-06,4.7663865999999995e-06,1.5178208e-05,0.0011292932,30
2,3,2,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,950.974115044,9.126515471999937,0.024838139099415443,0.01676460342736819,0.046745918426813415,0.14912478699897463,0.1025243752283134,1.0056903973326743,1.9001143e-05,6.9187220000000005e-06,4.2632993e-05,0.000920195,30
3,4,3,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,940.5969369620002,0.7503503470006763,0.03576144728709402,0.0222943704167779,0.06293376508742743,0.2201543505854888,0.15577389805907396,1.0680492294994517,4.1700067e-05,9.758289999999999e-06,9.886786e-05,0.0012797596,30
4,5,4,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,951.404984242,0.7560975070000495,0.06822014619477063,0.04041751383029496,0.072509767912467,0.26831482598953604,0.234181452571732,0.9888094487079804,2.8997044999999997e-05,8.652315e-06,9.077491e-05,0.0018412201,30
5,6,5,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,946.2922457050008,8.353564811999604,0.026368141714822563,0.017653984516443202,0.050669319663347534,0.150835915248784,0.11570400681139872,0.912148338783664,3.6879290000000004e-05,1.9862151e-05,6.0144444e-05,0.0010541385,30
6,7,6,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,951.6845091300002,12.301292232000378,0.058042930690561365,0.048593711368772344,0.05146990467056747,0.20403628495434048,0.23625543383688655,0.795247417915744,3.4679244e-06,4.7516874e-06,5.2286017e-05,0.0011202267999999998,30
7,8,7,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,950.2239172830004,10.162272564999512,0.027380782184553483,0.01565453700986036,0.03985634594283252,0.16328320493523626,0.11379421364839216,0.7476402344593231,4.797187e-06,8.9187315e-06,2.5440791e-05,0.0008457916,30
8,9,8,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,960.6126373750012,9.190211567998631,0.04219946121189284,0.02299962928831865,0.06331586066276007,0.18848155256856292,0.14768433853935725,1.0513356747516815,3.946317e-05,2.5422993e-05,0.00011485867,0.0012742522,30
9,10,9,1,10,True,10000,1000,10,10,10,False,100000,128,False,10,961.6954221279993,3.0770314670007792,0.04371190401366662,0.02686116647714824,0.05018665254829316,0.20746626704531518,0.17298450464290796,0.9027868332752411,2.2321509999999997e-05,3.2950007e-05,4.7139656000000005e-05,0.001092919,30
