,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res
0,1,0,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2198.099089338,2.353539370999897,0.002088147807587951,0.0011888368913828922,0.011279272213433889,0.009535650203645944,0.007000466019260703,0.0946971374065686,6.490322e-08,1.8783153000000003e-08,7.1722833e-10,1.2387968000000001e-06
1,2,1,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2201.031623899001,3.1326466040000014,0.0032601629448713075,0.0023573393780459205,0.014461252221186743,0.013668456931152142,0.011926520481525187,0.13314967934307997,1.5588225e-07,1.3785132e-07,1.7349058e-09,2.845773e-06
2,3,2,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2209.4283106760004,2.5481852080010867,0.0021909556109740427,0.0014889652795138392,0.008152139283202242,0.010526938829571232,0.008545330957107848,0.09143738430486614,2.5949827000000002e-08,4.545139e-09,3.8676143e-10,5.476296e-07
3,4,3,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2284.8459940390003,2.8095035789992835,0.0034261382447218743,0.002108166892679206,0.01429920177236077,0.01635277467969298,0.012225507677407986,0.14819745701299603,2.1592764999999998e-08,3.6122355e-08,2.0393635e-10,5.1699726e-07
4,5,4,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2215.546820668,2.6723377570015145,0.002482113568327677,0.001899835977795509,0.010075064673875478,0.010023554400346583,0.00956700270762235,0.08726460089249377,3.0898114e-08,1.1068499999999999e-08,3.506126e-10,8.0290624e-07
5,6,5,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2260.0140990889995,2.7727289100002963,0.0012571983523029687,0.0008111583060077768,0.004597467280409884,0.006271229747479933,0.004721920494088045,0.053185293253503296,8.436992999999999e-08,9.828889000000001e-09,1.778944e-10,4.0243122999999995e-07
6,7,6,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2214.433254622001,2.4333899740013294,0.0036050269518223188,0.0023655491381516115,0.016670945414622412,0.01606963521527788,0.013258630743975224,0.1505487595991588,1.4665406e-07,8.340534e-08,4.761162e-10,1.210511e-06
7,8,7,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2281.9222647319984,2.6803969239990693,0.002121269155661324,0.0011709265382368436,0.010503369697650061,0.010393772161475547,0.007194505489484554,0.09210163702530627,1.4770813e-08,4.273435e-09,1.5868655e-10,2.5053920000000003e-07
8,9,8,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2338.5689624789993,2.766686099999788,0.0020033718645935863,0.0015797381555995446,0.007660436758120642,0.007768907940071182,0.007715451396942287,0.07359463324112658,1.0142504999999999e-07,1.1688455e-08,5.0373433e-10,8.834778e-07
9,10,9,5,50,True,10000,1000,100,1,1,False,100000,128,False,10,2345.854734828001,3.751732508000714,0.003032619895796599,0.001994172567992843,0.015118885168154822,0.012900631607099939,0.01055432104107355,0.13581401457352404,2.5636392999999996e-07,6.412765e-08,1.8740114e-09,1.546991e-06
10,11,0,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2383.510603599003,2.859673462000501,0.0039226600330606095,0.0020794638698250763,0.018229249247630225,0.018720768120599442,0.012930524191474087,0.1709480840366835,2.7659178e-08,2.7013534e-09,6.8180467e-10,9.063731e-07
11,12,1,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2380.228416269001,2.917231917999743,0.0016865878736306648,0.0011734171480539787,0.007373931184266713,0.00778393943828829,0.006502380379858018,0.06277615179581408,4.8725905e-08,7.002716999999999e-09,1.3915709e-10,5.6828924e-07
12,13,2,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2407.234960851998,2.7221266259984986,0.0029924397592491683,0.002217904906610636,0.011472675332148657,0.012931279069832291,0.011684081208614059,0.10603004280743544,6.826351e-08,2.0894271e-08,3.6676095e-10,1.2519996e-06
13,14,3,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2371.1026038359996,2.6614593239937676,0.002222536068384847,0.0016333852050258036,0.0077082393623876255,0.009174990002245169,0.00842339108418816,0.08005624596295302,3.1662654999999996e-08,2.2247334999999998e-08,1.0100377e-09,1.1533803999999999e-06
14,15,4,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2350.428329812996,2.7229531570046674,0.0004237775564705449,0.0002996457860440673,0.003178693829254453,0.0026444659489251125,0.0017589052973800963,0.02323897670016173,2.916334e-08,4.0454897e-09,2.960895e-10,7.566941300000001e-07
15,16,5,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,2372.7614564230025,2.637153147996287,0.0038746785314038266,0.00286026217823667,0.016346919664462195,0.01603592408103208,0.014640942095713717,0.14533502211136584,1.1217772e-07,4.912639000000001e-09,1.2461966e-09,1.5737105e-06
16,17,6,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,1854.1188001339997,2.866480966999916,0.003529595062068938,0.0023027387078347924,0.015993568429072486,0.015514870267646846,0.012629039975580427,0.14289743055863147,5.4397525e-08,1.21537935e-08,1.9247437e-09,1.3055473999999998e-06
17,18,7,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,1857.690685691,2.8173188050000135,0.0019367588930210083,0.0014570539586185312,0.008877086767275916,0.008042256738221077,0.0075059021893151764,0.08112675299210315,3.8893993999999996e-08,9.421510000000001e-09,1.5804360000000001e-09,1.2549802e-06
18,19,8,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,1861.4202733820002,2.792653610000343,0.001364135160666864,0.0008514167948736718,0.005766976007540808,0.006594041131686976,0.005004943741822003,0.05758409183965618,1.2288258e-08,7.0750666e-10,1.273069e-10,2.2201817000000003e-07
19,20,9,5,50,True,10000,1000,100,1,3,False,100000,128,False,10,1876.720489378,2.7482745400002386,0.001987712350973918,0.001263253613634303,0.00934377623470603,0.008820968199730432,0.006970862084057985,0.08855396856827502,3.5471004e-08,6.087471999999999e-09,7.7953877e-10,7.5531204e-07
20,21,0,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1890.2230187609994,2.7795185600007244,0.0015746521560971876,0.0011420218988225945,0.006638097890933142,0.006497377275552485,0.005861850761464626,0.06431966606793349,3.8159403e-08,1.3884193e-09,8.3719787e-10,5.768826e-07
21,22,1,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1880.8181854060003,2.606748140000491,0.0027458441696478716,0.0017222808236803395,0.012411403783877478,0.012608069391382017,0.010016328944176926,0.11314516846356337,3.825011e-08,1.019322e-09,2.379002e-10,7.587921999999999e-07
22,23,2,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1831.134908131,2.6406003160009277,0.00356287960913661,0.002526383553705388,0.014846491941531287,0.015178409878019217,0.013227437943151543,0.13590413679642444,3.9753339999999995e-08,6.6218503e-10,4.817867e-10,1.0620553999999997e-06
23,24,3,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1813.9199468240004,2.564826243000425,0.0024522883644045902,0.0012690422847414793,0.011535588034709082,0.011919564355933577,0.008198426960341596,0.1023903523878551,2.1772607000000003e-08,8.463096e-10,1.1380136000000001e-10,7.345999000000001e-07
24,25,4,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1840.341950701999,2.674047331998736,0.0010061764454091164,0.0007026058614371706,0.0037299230859770827,0.005147962189428402,0.0039291454627023836,0.05473076237404051,1.2022107e-08,6.56458e-10,2.8430700000000005e-10,4.4892580000000005e-07
25,26,5,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1850.6649176429999,2.3284191830002783,0.002711713409566382,0.0018126585405513402,0.012139933481668141,0.01209365116298733,0.01000400280827981,0.10372454275650744,3.352758e-08,4.4173447e-09,6.1241334e-10,7.453915600000001e-07
26,27,6,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1857.1092529429998,2.345332034999956,0.0026897898651717595,0.0021091492565808766,0.00973546815784751,0.01022995833035766,0.010336301465619657,0.08985692610306506,1.3397138e-07,2.3610012e-09,8.941146e-10,1.0697797e-06
27,28,7,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1878.3318991010005,2.4704344080000737,0.001672162441428579,0.0013220479042800408,0.0072039089350449115,0.0057388365339065784,0.006109745954799691,0.056609718460314484,6.642027999999999e-08,1.0812713e-09,3.7293216000000003e-10,8.725659e-07
28,29,8,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1879.8131056809998,2.4544417209999665,0.0007470384885241745,0.00046570969828402345,0.002496945985873328,0.0041765352787357605,0.002925330559470065,0.039191289572048316,7.516501e-09,2.8905556e-10,5.1046035e-11,2.5206566e-07
29,30,9,5,50,True,10000,1000,100,1,10,False,100000,128,False,10,1886.4965401889995,2.539551219999339,0.0026216876034959634,0.0016366115528936625,0.012351158068327872,0.012054252588982853,0.009286268754406942,0.11621004690689807,2.2823556000000004e-08,3.3131217e-10,5.747572e-10,5.561713e-07
30,31,0,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1910.8802744699988,2.3707994600008533,0.0014793641443752636,0.0009543728693926284,0.008460166230653432,0.006477458290486889,0.005246428722497625,0.06805028491328247,5.164764599999999e-08,9.339065e-10,7.7585033e-10,1.0072849000000001e-06
31,32,1,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1933.0157098239997,2.461472031000085,0.001873678040155987,0.0013221946481962027,0.006495785809538912,0.008645220699501506,0.007272605719830404,0.07782153767095501,5.2555002000000004e-08,1.3732318e-09,1.3509649e-09,8.527501300000001e-07
32,33,2,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1951.2264625999996,2.447790733000147,0.003263671144717947,0.0022483722398434014,0.01504494560631095,0.013929997903126216,0.011762603884428714,0.13806206335587268,7.327077e-08,2.1816964e-09,1.4749416e-09,1.6056905e-06
