 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   6.12.2021    Time:  11: 5:44
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    3        3    -1     1     T
        2  0.2000000E-02  0.10000E-02    3        6    -1     1     T
        3  0.3000000E-02  0.10000E-02    2        8    -1     1     T
        4  0.4000000E-02  0.10000E-02    2       10    -1     1     T
        5  0.5000000E-02  0.10000E-02    2       12    -1     1     T
        6  0.6000000E-02  0.10000E-02    2       14    -1     1     T
        7  0.7000000E-02  0.10000E-02    2       16    -1     1     T
        8  0.8000000E-02  0.10000E-02    2       18    -1     1     T
        9  0.9000000E-02  0.10000E-02    2       20    -1     1     T
       10  0.1000000E-01  0.10000E-02    2       22    -1     1     T
       11  0.1100000E-01  0.10000E-02    2       24    -1     1     T
       12  0.1200000E-01  0.10000E-02    2       26    -1     1     T
       13  0.1300000E-01  0.10000E-02    2       28    -1     1     T
       14  0.1400000E-01  0.10000E-02    2       30    -1     1     T
       15  0.1500000E-01  0.10000E-02    2       32    -1     1     T
       16  0.1600000E-01  0.10000E-02    2       34    -1     1     T
       17  0.1700000E-01  0.10000E-02    2       36    -1     1     T
       18  0.1800000E-01  0.10000E-02    2       38    -1     1     T
       19  0.1900000E-01  0.10000E-02    2       40    -1     1     T
       20  0.2000000E-01  0.10000E-02    2       42    -1     1     T
       21  0.2100000E-01  0.10000E-02    2       44    -1     1     T
       22  0.2200000E-01  0.10000E-02    2       46    -1     1     T
       23  0.2300000E-01  0.10000E-02    2       48    -1     1     T
       24  0.2400000E-01  0.10000E-02    2       50    -1     1     T
       25  0.2500000E-01  0.10000E-02    2       52    -1     1     T
       26  0.2600000E-01  0.10000E-02    2       54    -1     1     T
       27  0.2700000E-01  0.10000E-02    2       56    -1     1     T
       28  0.2800000E-01  0.10000E-02    2       58    -1     1     T
       29  0.2900000E-01  0.10000E-02    2       60    -1     1     T
       30  0.3000000E-01  0.10000E-02    2       62    -1     1     T
       31  0.3100000E-01  0.10000E-02    2       64    -1     1     T
       32  0.3200000E-01  0.10000E-02    2       66    -1     1     T
       33  0.3300000E-01  0.10000E-02    2       68    -1     1     T
       34  0.3400000E-01  0.10000E-02    2       70    -1     1     T
       35  0.3500000E-01  0.10000E-02    2       72    -1     1     T
       36  0.3600000E-01  0.10000E-02    2       74    -1     1     T
       37  0.3700000E-01  0.10000E-02    2       76    -1     1     T
       38  0.3800000E-01  0.10000E-02    2       78    -1     1     T
       39  0.3900000E-01  0.10000E-02    2       80    -1     1     T
       40  0.4000000E-01  0.10000E-02    2       82    -1     1     T
       41  0.4100000E-01  0.10000E-02    2       84    -1     1     T
       42  0.4200000E-01  0.10000E-02    2       86    -1     1     T
       43  0.4300000E-01  0.10000E-02    2       88    -1     1     T
       44  0.4400000E-01  0.10000E-02    2       90    -1     1     T
       45  0.4500000E-01  0.10000E-02    2       92    -1     1     T
       46  0.4600000E-01  0.10000E-02    2       94    -1     1     T
       47  0.4700000E-01  0.10000E-02    2       96    -1     1     T
       48  0.4800000E-01  0.10000E-02    2       98    -1     1     T
       49  0.4900000E-01  0.10000E-02    2      100    -1     1     T
       50  0.5000000E-01  0.10000E-02    2      102    -1     1     T
       51  0.5100000E-01  0.10000E-02    2      104    -1     1     T
       52  0.5200000E-01  0.10000E-02    2      106    -1     1     T
       53  0.5300000E-01  0.10000E-02    2      108    -1     1     T
       54  0.5400000E-01  0.10000E-02    2      110    -1     1     T
       55  0.5500000E-01  0.10000E-02    2      112    -1     1     T
       56  0.5600000E-01  0.10000E-02    2      114    -1     1     T
       57  0.5700000E-01  0.10000E-02    2      116    -1     1     T
       58  0.5800000E-01  0.10000E-02    2      118    -1     1     T
       59  0.5900000E-01  0.10000E-02    2      120    -1     1     T
       60  0.6000000E-01  0.10000E-02    2      122    -1     1     T
       61  0.6100000E-01  0.10000E-02    2      124    -1     1     T
       62  0.6200000E-01  0.10000E-02    2      126    -1     1     T
       63  0.6300000E-01  0.10000E-02    2      128    -1     1     T
       64  0.6400000E-01  0.10000E-02    2      130    -1     1     T
       65  0.6500000E-01  0.10000E-02    2      132    -1     1     T
       66  0.6600000E-01  0.10000E-02    2      134    -1     1     T
       67  0.6700000E-01  0.10000E-02    2      136    -1     1     T
       68  0.6800000E-01  0.10000E-02    2      138    -1     1     T
       69  0.6900000E-01  0.10000E-02    2      140    -1     1     T
       70  0.7000000E-01  0.10000E-02    2      142    -1     1     T
       71  0.7100000E-01  0.10000E-02    2      144    -1     1     T
       72  0.7200000E-01  0.10000E-02    2      146    -1     1     T
       73  0.7300000E-01  0.10000E-02    2      148    -1     1     T
       74  0.7400000E-01  0.10000E-02    2      150    -1     1     T
       75  0.7500000E-01  0.10000E-02    2      152    -1     1     T
       76  0.7600000E-01  0.10000E-02    2      154    -1     1     T
       77  0.7700000E-01  0.10000E-02    2      156    -1     1     T
       78  0.7800000E-01  0.10000E-02    2      158    -1     1     T
       79  0.7900000E-01  0.10000E-02    2      160    -1     1     T
       80  0.8000000E-01  0.10000E-02    2      162    -1     1     T
       81  0.8100000E-01  0.10000E-02    2      164    -1     1     T
       82  0.8200000E-01  0.10000E-02    2      166    -1     1     T
       83  0.8300000E-01  0.10000E-02    2      168    -1     1     T
       84  0.8400000E-01  0.10000E-02    2      170    -1     1     T
       85  0.8500000E-01  0.10000E-02    2      172    -1     1     T
       86  0.8600000E-01  0.10000E-02    2      174    -1     1     T
       87  0.8700000E-01  0.10000E-02    2      176    -1     1     T
       88  0.8800000E-01  0.10000E-02    2      178    -1     1     T
       89  0.8900000E-01  0.10000E-02    2      180    -1     1     T
       90  0.9000000E-01  0.10000E-02    2      182    -1     1     T
       91  0.9100000E-01  0.10000E-02    2      184    -1     1     T
       92  0.9200000E-01  0.10000E-02    2      186    -1     1     T
       93  0.9300000E-01  0.10000E-02    2      188    -1     1     T
       94  0.9400000E-01  0.10000E-02    2      190    -1     1     T
       95  0.9500000E-01  0.10000E-02    2      192    -1     1     T
       96  0.9600000E-01  0.10000E-02    2      194    -1     1     T
       97  0.9700000E-01  0.10000E-02    2      196    -1     1     T
       98  0.9800000E-01  0.10000E-02    2      198    -1     1     T
       99  0.9900000E-01  0.10000E-02    2      200    -1     1     T
      100  0.1000000E+00  0.10000E-02    2      202    -1     1     T
      101  0.1010000E+00  0.10000E-02    2      204    -1     1     T
      102  0.1020000E+00  0.10000E-02    2      206    -1     1     T
      103  0.1030000E+00  0.10000E-02    2      208    -1     1     T
      104  0.1040000E+00  0.10000E-02    2      210    -1     1     T
      105  0.1050000E+00  0.10000E-02    2      212    -1     1     T
      106  0.1060000E+00  0.10000E-02    2      214    -1     1     T
      107  0.1070000E+00  0.10000E-02    2      216    -1     1     T
      108  0.1080000E+00  0.10000E-02    2      218    -1     1     T
      109  0.1090000E+00  0.10000E-02    2      220    -1     1     T
      110  0.1100000E+00  0.10000E-02    2      222    -1     1     T
      111  0.1110000E+00  0.10000E-02    2      224    -1     1     T
      112  0.1120000E+00  0.10000E-02    2      226    -1     1     T
      113  0.1130000E+00  0.10000E-02    2      228    -1     1     T
      114  0.1140000E+00  0.10000E-02    2      230    -1     1     T
      115  0.1150000E+00  0.10000E-02    2      232    -1     1     T
      116  0.1160000E+00  0.10000E-02    2      234    -1     1     T
      117  0.1170000E+00  0.10000E-02    2      236    -1     1     T
      118  0.1180000E+00  0.10000E-02    2      238    -1     1     T
      119  0.1190000E+00  0.10000E-02    2      240    -1     1     T
      120  0.1200000E+00  0.10000E-02    2      242    -1     1     T
      121  0.1210000E+00  0.10000E-02    2      244    -1     1     T
      122  0.1220000E+00  0.10000E-02    2      246    -1     1     T
      123  0.1230000E+00  0.10000E-02    2      248    -1     1     T
      124  0.1240000E+00  0.10000E-02    2      250    -1     1     T
      125  0.1250000E+00  0.10000E-02    2      252    -1     1     T
      126  0.1260000E+00  0.10000E-02    2      254    -1     1     T
      127  0.1270000E+00  0.10000E-02    2      256    -1     1     T
      128  0.1280000E+00  0.10000E-02    2      258    -1     1     T
      129  0.1290000E+00  0.10000E-02    2      260    -1     1     T
      130  0.1300000E+00  0.10000E-02    2      262    -1     1     T
      131  0.1310000E+00  0.10000E-02    2      264    -1     1     T
      132  0.1320000E+00  0.10000E-02    2      266    -1     1     T
      133  0.1330000E+00  0.10000E-02    2      268    -1     1     T
      134  0.1340000E+00  0.10000E-02    2      270    -1     1     T
      135  0.1350000E+00  0.10000E-02    2      272    -1     1     T
      136  0.1360000E+00  0.10000E-02    2      274    -1     1     T
      137  0.1370000E+00  0.10000E-02    2      276    -1     1     T
      138  0.1380000E+00  0.10000E-02    2      278    -1     1     T
      139  0.1390000E+00  0.10000E-02    2      280    -1     1     T
      140  0.1400000E+00  0.10000E-02    2      282    -1     1     T
      141  0.1410000E+00  0.10000E-02    2      284    -1     1     T
      142  0.1420000E+00  0.10000E-02    2      286    -1     1     T
      143  0.1430000E+00  0.10000E-02    2      288    -1     1     T
      144  0.1440000E+00  0.10000E-02    2      290    -1     1     T
      145  0.1450000E+00  0.10000E-02    2      292    -1     1     T
      146  0.1460000E+00  0.10000E-02    2      294    -1     1     T
      147  0.1470000E+00  0.10000E-02    2      296    -1     1     T
      148  0.1480000E+00  0.10000E-02    2      298    -1     1     T
      149  0.1490000E+00  0.10000E-02    2      300    -1     1     T
      150  0.1500000E+00  0.10000E-02    2      302    -1     1     T
      151  0.1510000E+00  0.10000E-02    2      304    -1     1     T
      152  0.1520000E+00  0.10000E-02    2      306    -1     1     T
      153  0.1530000E+00  0.10000E-02    2      308    -1     1     T
      154  0.1540000E+00  0.10000E-02    2      310    -1     1     T
      155  0.1550000E+00  0.10000E-02    2      312    -1     1     T
      156  0.1560000E+00  0.10000E-02    2      314    -1     1     T
      157  0.1570000E+00  0.10000E-02    2      316    -1     1     T
      158  0.1580000E+00  0.10000E-02    2      318    -1     1     T
      159  0.1590000E+00  0.10000E-02    2      320    -1     1     T
      160  0.1600000E+00  0.10000E-02    2      322    -1     1     T
      161  0.1610000E+00  0.10000E-02    2      324    -1     1     T
      162  0.1620000E+00  0.10000E-02    2      326    -1     1     T
      163  0.1630000E+00  0.10000E-02    2      328    -1     1     T
      164  0.1640000E+00  0.10000E-02    2      330    -1     1     T
      165  0.1650000E+00  0.10000E-02    2      332    -1     1     T
      166  0.1660000E+00  0.10000E-02    2      334    -1     1     T
      167  0.1670000E+00  0.10000E-02    2      336    -1     1     T
      168  0.1680000E+00  0.10000E-02    2      338    -1     1     T
      169  0.1690000E+00  0.10000E-02    2      340    -1     1     T
      170  0.1700000E+00  0.10000E-02    2      342    -1     1     T
      171  0.1710000E+00  0.10000E-02    2      344    -1     1     T
      172  0.1720000E+00  0.10000E-02    2      346    -1     1     T
      173  0.1730000E+00  0.10000E-02    2      348    -1     1     T
      174  0.1740000E+00  0.10000E-02    2      350    -1     1     T
      175  0.1750000E+00  0.10000E-02    2      352    -1     1     T
      176  0.1760000E+00  0.10000E-02    2      354    -1     1     T
      177  0.1770000E+00  0.10000E-02    2      356    -1     1     T
      178  0.1780000E+00  0.10000E-02    2      358    -1     1     T
      179  0.1790000E+00  0.10000E-02    2      360    -1     1     T
      180  0.1800000E+00  0.10000E-02    2      362    -1     1     T
