 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24.12.2021    Time:  14: 7:36
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-03  0.10000E-03    2        2     0     1     T
       11  0.1100000E-02  0.10000E-03    2       22     0     1     T
       21  0.2100000E-02  0.10000E-03    2       42     0     1     T
       31  0.3100000E-02  0.10000E-03    2       62     0     1     T
       41  0.4100000E-02  0.10000E-03    2       82     0     1     T
       51  0.5100000E-02  0.10000E-03    2      102     0     1     T
       61  0.6100000E-02  0.10000E-03    2      122     0     1     T
       71  0.7100000E-02  0.10000E-03    2      142     0     1     T
       81  0.8100000E-02  0.10000E-03    2      162     0     1     T
       91  0.9100000E-02  0.10000E-03    2      182     0     1     T
      101  0.1010000E-01  0.10000E-03    2      202     0     1     T
      111  0.1110000E-01  0.10000E-03    2      222     0     1     T
      121  0.1210000E-01  0.10000E-03    2      242     0     1     T
      131  0.1310000E-01  0.10000E-03    2      262     0     1     T
      141  0.1410000E-01  0.10000E-03    2      282     0     1     T
      151  0.1510000E-01  0.10000E-03    2      302     0     1     T
      161  0.1610000E-01  0.10000E-03    2      322     0     1     T
      171  0.1710000E-01  0.10000E-03    2      342     0     1     T
      181  0.1810000E-01  0.10000E-03    2      362     0     1     T
      191  0.1910000E-01  0.10000E-03    2      382     0     1     T
      201  0.2010000E-01  0.10000E-03    2      402     0     1     T
      211  0.2110000E-01  0.10000E-03    2      422     0     1     T
      221  0.2210000E-01  0.10000E-03    2      442     0     1     T
      231  0.2310000E-01  0.10000E-03    2      462     0     1     T
      241  0.2410000E-01  0.10000E-03    2      482     0     1     T
      251  0.2510000E-01  0.10000E-03    2      502     0     1     T
      261  0.2610000E-01  0.10000E-03    2      522     0     1     T
      271  0.2710000E-01  0.10000E-03    2      542     0     1     T
      281  0.2810000E-01  0.10000E-03    2      562     0     1     T
      291  0.2910000E-01  0.10000E-03    2      582     0     1     T
      301  0.3010000E-01  0.10000E-03    2      602     0     1     T
      311  0.3110000E-01  0.10000E-03    2      622     0     1     T
      321  0.3210000E-01  0.10000E-03    2      642     0     1     T
      331  0.3310000E-01  0.10000E-03    2      662     0     1     T
      341  0.3410000E-01  0.10000E-03    2      682     0     1     T
      351  0.3510000E-01  0.10000E-03    2      702     0     1     T
      361  0.3610000E-01  0.10000E-03    2      722     0     1     T
      371  0.3710000E-01  0.10000E-03    2      742     0     1     T
      381  0.3810000E-01  0.10000E-03    2      762     0     1     T
      391  0.3910000E-01  0.10000E-03    2      782     0     1     T
      401  0.4010000E-01  0.10000E-03    2      802     0     1     T
      411  0.4110000E-01  0.10000E-03    2      822     0     1     T
      421  0.4210000E-01  0.10000E-03    2      842     0     1     T
      431  0.4310000E-01  0.10000E-03    2      862     0     1     T
      441  0.4410000E-01  0.10000E-03    2      882     0     1     T
      451  0.4510000E-01  0.10000E-03    2      902     0     1     T
      461  0.4610000E-01  0.10000E-03    2      922     0     1     T
      471  0.4710000E-01  0.10000E-03    2      942     0     1     T
      481  0.4810000E-01  0.10000E-03    2      962     0     1     T
      491  0.4910000E-01  0.10000E-03    2      982     0     1     T
      501  0.5010000E-01  0.10000E-03    2     1002     0     1     T
      511  0.5110000E-01  0.10000E-03    2     1022     0     1     T
      521  0.5210000E-01  0.10000E-03    2     1042     0     1     T
      531  0.5310000E-01  0.10000E-03    2     1062     0     1     T
